Name,Category,Followers,Description
Kalke,Software Development • Dhaka,5K followers,"...solution that connects Startups, SMEs with the best-fit candidates. So far, we've assisted 100 + organizations in hiring 200+ candidates and worked with companies from Bangladesh and overseas like foodPanda, Maya, PravaHealth, Nitex, Loop Freight, Sheba.xyz, Kazi IT, BYLC, StartUp Bangladesh, Bangla Trac Group, Confidence..."
Graaho Technologies,"IT Services and IT Consulting • Reston, Virginia",2K followers,"GRAAHO is a consulting and information technology solutions provider headquartered in the Washington D.C metro area with a development center in Dhaka, Bangladesh that serves private and public sector clients globally. At GRAAHO, we deploy disciplined approach to design, analysis, programming and project management..."
SkyTech Solutions,"Outsourcing and Offshoring Consulting • Dhaka, Dhaka",4K followers,"...-shore facilities at Dhaka, Bangladesh. Our innovative solutions allow clients to improve profit margins by focusing on their core competencies. Companies will work with skilled, qualified, trained and motivated resources. SkyTech offers clients highly skilled resources in the areas of Telemarketing, Image Editing, Search..."
WebAppick,"Software Development • Dhaka, Dhaka",4K followers,WebAppick LLC is a Software Development Company founded in 2014. WebAppick develops Plugins for WordPress and WooCommerce. WebAppick has introduced two WordPress plugins CTX Feed | WooCommerce Product Feed Pro and Challan | WooCommerce PDF Invoice & Packing Slip Pro.
Lead Bangladesh,"Advertising Services • Chittagong, Chittagong",2K followers,"Lead Bangladesh is a multidimensional business group, started its journey in 2015 with a passion to deliver creative and professional services. Lead Bangladesh has been registered as a private limited company by the Registrar of Joint Stock Companies & Firms (RJSC). With data-driven analysis of unique business..."
Digital Marketing Solution (Pvt.) Ltd.,"Advertising Services • Dhaka, Dhaka",3K followers,"Digital Marketing Solution specializes in Social Media Management, Digital Online Marketing with expertise in Facebook Advertising, Web Design, and Development, Brand Promotion, Email Marketing, PPC. We provide Web Design, SEO and SMS Marketing services."
Brain Craft Ltd.,"Software Development • Dhaka, Mohakhali DOHS",4K followers,"Brain Craft Limited is a software development company currently specializing in Mobile applications development in the iOS App Store and the Google Play Store, the two primary areas are currently under active development with more than 20 free downloadable and subscription-based mobile applications. The company has an..."
ReformedTech,"IT Services and IT Consulting • Dhaka, Dhaka",4K followers,ReformedTech is an offshore software development firm based in Bangladesh.
Halal Lab - UI/UX Design Agency,Software Development • Dubai,2K followers,World-Class SaaS Design Agency • Specialties: Front-End Development
Dotpot iT,IT Services and IT Consulting • London,4K followers,"Dotpot iT is a leading technology company renowned for its excellence in a wide range of IT services, such as Web development, software development, mobile app development and innovative AI development. Our proficiency extends to web development and app development, seamless UI/UX design ensuring outstanding IT..."
Devs Core,"Software Development • Geneva, Florida",2K followers,"Devs Core stands out as a pioneering provider of sustainable software solutions. Our uniqueness lies in our specialized approach to software development, focusing on sustainability and longevity. We excel in automation and intricate software integrations, transforming data from sensor-enabled machinery into actionable..."
Corporate Ask,Human Resources Services • Dhaka,4K followers,"""Corporate Ask"" is the first-ever Resume Writing Company of Bangladesh. They make CV, Resume, Personal Profile, cover letter, SOP, Linkedin Profile, and bdjobs profile through one-to-one discussion. They have served 17,000+ clients in 6 years.   Different Professionals For whom they have worked: 1. Accounts & Finance..."
Dinnova AG Bangladesh,Software Development • Dhaka,3K followers,"Dinnova Bangladesh is a proud daughter company of the Dinnova Group, headquartered in Switzerland, a beacon of innovation in software and app development..."
aiQuest Intelligence,"E-Learning Providers • Dhaka, Dhaka",628 followers,"Build your career in data science! aiQuest believes in delivering a quality curriculum with a highly qualified professional team working as Data Engineers, Data Scientists, and Data Analysts."
Inovace Technologies,"Appliances, Electrical, and Electronics Manufacturing • Dhaka",4K followers,"Inovace Technologies is one of the latest tech startups in Bangladesh. Our award winning team of talented engineers are pioneering in the field of Biometrics, Cloud based solutions and Industrial IoT in Bangladesh. We have a strong R&D team, working on introducing new technologies and implementing new ideas since 2015..."
orangetoolz.com,Information Technology & Services • Dhaka,5K followers,OrangeToolz.com is one of the leading solution providers for Internet based applications in Bangladesh. The company was founded in 2014 and since its inception...
Daniyal Technologies,"IT Services and IT Consulting • Dhaka, Dhaka",4K followers,Turning Imagination into Innovation: Where Ideas Come to Life • Specialties: Software Development
Skies Engineering & Technologies Company,"IT Services and IT Consulting • Dhaka, Palton",4K followers,...of Bangladesh. We are in business to not only make profit but to also compete favorably against other software development companies in the industry and attain...
Apex DMIT Ltd.,"Information Technology & Services • Dhaka, Dhaka",4K followers,"An MNC in the IT Enabled and Knowledge-Based Services sector, Apex DMIT provides 24/7 data management, software, analytics, and infrastructure services solutions in the financial, banking, & real estate industries in the US and Bangladesh.  By earning foreign currency for Bangladesh through the export of IT services..."
